1,0,4,1,0,4,1,0,4,1,0,4,5,1,0,4
612,48,612,48,612,48,612,48,612,48,612,0,612,48,612,1
612,48,612,48,612,48,612,48,612,48,0,0,0,612,48,48
68,4,1,5,68,4,1,5,68,4,1,5,68,4,1,5
68,4,1,5,68,4,1,5,68,4,1,5,68,4,1,4
1,5,5,1,1,4,4,1,5,1,68,4,4,1,5,5
68,68,4,4,1,5,68,4,1,5,68,4,1,5,68,4
5,68,4,1,5,68,4,1,5,68,4,1,4,1,5,5
39,39,09,6,39,09,39,09,39,39,6,09,6,6,39,09
3107,18,487,413,3107,18,487,413,3107,18,487,413,3107,18,487,413
3107,18,487,413,3107,18,487,413,3107,287,6,487,3107,287,6,487
0,3,0,0,0,58,1,3,38,3,3,0,58,48,3,0
18,3,58,4,18,3,58,4,18,3,58,4,18,3,58,4
38,212,38,212,38,512,61287,08,38,08,38,5,38,212,38,212
4107,287,587,17,4107,287,587,17,4107,287,587,17,4107,287,587,17
0,18,28,18,0,18,28,0,4,0,18,28,4,3,3,28
3,28,3,19,19,18,4,0,18,28,0,18,28,4,0,18
28,4,0,4,0,18,28,4,3,28,3,28,3,28,19,18
4,0,18,28,0,18,28,4,0,18,28,4,0,4,0,18
28,5,398,6,28,5,398,6,28,5,398,6,28,5,398,6
28,5,398,6,28,5,6,0,1,28,28,5,6,0,1,28
5,398,6,28,5,398,6,28,5,398,6,28,5,398,6,28
08,48,49,48,49,59,19,08,48,19,48,08,48,49,59,49
19,38,09,598,598,09,19,49,19,38,09,598,19,49,19,38
09,598,09,598,19,49,08,48,08,48,49,59,49,19,38,09
4,1,3,0,08,4,57,17,4,4,1,3,0,08,4,57
17,4,0,4,67,0,4,0,4,57,17,4,1,3,0,08
4,57,17,4,4,1,3,0,08,4,57,17,4,0,4,67
0,4,0,4,57,17,0,1,4,1,3,0,08,4,57,17
29,5,387,5,39,26,29,5,2,5,5,3987,3987,26,29,5
3987,097,3987,67,1107,187,187,1107,187,5,3987,097,3987,67,1107,187
6,28,0,6,28,0,6,28,0,6,28,0,6,28,58,1
4,28,58,1,4,28,58,1,4,28,58,1,4,28,58,1
18,47,0,0,18,47,0,0,18,47,0,18,47,0,18,47
0,18,47,0,18,47,0,18,47,0,18,47,0,18,47,0
